temperature_2m,relativehumidity_2m,direct_radiation,diffuse_radiation,windspeed_10m,cloudcover,season
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.052744142,-0.023975009,0.543524955,0.104657204,-0.004054861,-0.068874963,0.038469407
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.052744142,-0.023975009,0.543524955,0.104657204,-0.004054861,-0.068874963,0.038469407
-0.052744142,-0.023975009,0.543524955,0.104657204,-0.004054861,-0.068874963,0.038469407
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048467088,-0.024163514,0.502650891,0.108912728,-0.004113892,-0.039280398,0.041463863
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.04847395,-0.0264796,0.497803953,0.107240498,-0.00292705,-0.012232965,0.022071703
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.048578978,-0.026471411,0.498267466,0.10999096,-0.005638924,-0.012007588,0.021441066
-0.094759463,-0.059355326,0.412273219,0.036945816,0.007327584,-0.044858287,-0.013397557
-0.094759463,-0.059355326,0.412273219,0.036945816,0.007327584,-0.044858287,-0.013397557
-0.094759463,-0.059355326,0.412273219,0.036945816,0.007327584,-0.044858287,-0.013397557
-0.098303314,-0.052842877,0.420713167,0.029384466,0.008028148,-0.131795808,-0.026439361
-0.098303314,-0.052842877,0.420713167,0.029384466,0.008028148,-0.131795808,-0.026439361
